Shipment#,Sales,Operations,Carrier legalName,Carrier displayName,Nature of Goods,Considerable Charging Unit,Origin Port,Commodity,Destination Port,isHouseholdGoods,isUsedGoods,isHazardous,isPerishable,isVehicle,Origin State,Destination State,Destination country,createdDate,shipmentStatus
MAT231500,Evelyn Martin,Benjamin Lee,Singapore Airlines Cargo,Singapore Airlines Cargo / SFO *,General,130169,DFW,Ship Spares,DXB,No,No,No,No,No,Texas,Al Garhoud,United Arab Emirates,2023-03-03T21:28:23.614Z,Completed
MAT241950,Maya Davis,Ava Garcia,Lufthansa Cargo,Lufthansa Cargo / JFK *,Other,292326,JFK,Empty Steel Cylinders // Non_Stackable,BLR,No,No,No,No,No,New York,Karnataka,India,2024-03-25T15:24:11.253Z,Released
MAT230683,Aurora Patel,Mia Garcia,Turkish Airlines,Turkish Airlines / JFK*,General,286697,IAD,Electrical Equipment and Material N.O.S.,DMM,No,No,No,No,No,District of Columbia,Dammam,Saudi Arabia,2023-01-27T17:27:32.490Z,Completed
MAT236030,Maya Davis,Noah Patel,Kuwait Airways,Kuwait Airways,General,69429,JFK,Cosmetic,JED,No,No,No,No,No,New York,Mecca,Saudi Arabia,2023-09-13T14:33:55.415Z,Completed
MAT234027,Evelyn Martin,Benjamin Lee,British Airways,British Airways/SFO *,Other,29965,LAX,Essential Oils ,DXB,No,No,No,No,No,California,Al Garhoud,United Arab Emirates,2023-06-13T00:11:49.088Z,Completed
MAT213632,Matthew Johnson,Luna Miller,British Airways,British Airways/LHR,Other,4451,SFO,Irrigation equipment.,RUH,No,No,No,No,No,California,Riyadh,Saudi Arabia,2021-07-07T06:05:09.420Z,Completed
MAT212156,Blake Garcia,Liam Hernandez,Silk Way Airlines,Silk Way Airlines,Other,288724,DAY,Plastic Vials and Caps,KBL,No,No,No,No,No,Ohio,Kabul,Afghanistan,2021-04-28T15:17:10.872Z,Completed
MAT217702,Benjamin Lewis,Maya Lopez,Philippine Airlines Cargo,Philippine Airlines Cargo/MIA *,Other,89505,SFO,GIFTS,SGN,No,No,No,No,No,California,Thái Bình,Vietnam,2021-12-20T13:55:27.246Z,Completed
MAT220575,Aurora Patel,Daniel Young,Turkish Airlines,Turkish Airlines/JFK *,Other,89809,LAX,E-Liquids,BAH,No,No,No,No,No,California,,Bahrain,2022-01-27T18:19:46.416Z,Completed
MAT240542,Evelyn Walker,Ethan Wright,Lufthansa Cargo,Lufthansa Cargo / JFK *,Other,105898,DFW,Spare parts,DXB,No,No,No,No,No,Texas,Al Garhoud,United Arab Emirates,2024-01-25T12:28:45.073Z,Released
MAT231499,Evelyn Martin,Benjamin Lee,Singapore Airlines Cargo,Singapore Airlines Cargo / SFO *,General,130378,IAH,Ship Spares,DXB,No,No,No,No,No,Texas,Al Garhoud,United Arab Emirates,2023-03-03T21:13:28.923Z,Completed
MAT237642,Lucas Thompson,Evelyn Jones,Etihad Airways,Etihad Airways / LAX *,General,91983,ORD,Machinery Parts ,BLR,No,No,No,No,No,Illinois,Karnataka,India,2023-12-01T09:44:11.781Z,Completed
